Timestamp,Please enter your worker ID,Please enter the verification code you received from the interface ,"Independent of its fluency, how helpful was having access to the AI Assistant compared to not having access?",How easy was it to interact with the AI Assistant?,How clear (or fluent) were the responses from the AI Assistant?,What adjectives would you use to describe the AI Assistant?,"Did the way you chose to interact with the AI Assistant change over the course of answering questions? If so, how?",Any feedback or comments?,Why did you find the AI Assistant helpful  or unhelpful? 
3/27/2022 12:17:51,098f6bcd4621d373cade4e832627b4f6,test,5,5,5,test,test,,
3/27/2022 12:24:49,aabe476e47b1cc79e7868ddbce0d0aee,test,2,2,2,test,est,,
3/27/2022 16:33:37,569ef72642be0fadd711d6a468d68ee1,te,5,5,5,te,te,,
3/27/2022 17:22:32,ddb694ab7e8cbbcdc1f8c144d35a4bb0,7613f471abb349268d4d72ccb13679c6,5,2,3,"Inefficient, uncomprehending, vague.","I fet I better understood how to answer the questions later on, or as least form the questions.",none,
3/27/2022 21:22:33,5f016d0d9d7fedb61139db7b2be77edb,ad859d3bf2d14be6a1670464bb3c2070,3,3,3,"inconsistent, unreliable, challenging","yes, i got frustrated at spending so much time so I started copy/pasting the question.","i just went back to copy the code to enter here, and the survey thinks i switched tabs",
3/27/2022 22:03:56,3e17cf80510c14454400c5928d5b281b,3f8a03c21c18455391ec70262bec4017,5,4,4,"Smart, decent, a little wishy-washy",Yes. I would often say a more straightforward question to see its response and then pinpoint a response by listing the 4 options.,,
3/29/2022 10:13:34,eb7023cacba007ef5df2282a3bda0f86,ba141054edd042ce8c3991ee325fcdea,3,5,2,"Confusing, Jumbled, Bunched","Not really, the Assistant couldn't really answer most of my queries. It got tiring after a while.",Thank you for the HIT!,
3/29/2022 12:14:02,57e0a3221f057e7324a484be0e75a67e,b1ab9600ca10478d9eca4d760a41e2a1,3,2,2,"in-progress, testing, unfinished, quirky",I had to ,,
4/4/2022 19:00:05,3325f9b2b809ec0c2ceb8ee0dc5f0f99,13651838cecb4a3a9cd4dbe8eca5b399,4,3,4,"Very robotic, efficient, reasonably clear, verbose.","Not really. The AI was not available over the first half of the quiz, though.",no comments,
4/4/2022 20:23:59,2003cafeec51c86803b2b21ccc0bad69,2aa84b8e16d34a83a30e72b6aa92c893,4,5,5,"knowledgeable, easy, functional",no.,none,
