domain,example,prompt,access_code,start_date,end_date,expire_after,session_length,n,max_tokens,temperature,top_p,presence_penalty,frequency_penalty,stop,engine,condition,additional_data
summarization,na,na,e537a472d3f6485fa570e6a1e8e88443,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,0
summarization,na,na,b1d4e8ebf5d94ee8bbd11b6188d281fc,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,0
summarization,na,na,1ac28c0b9b394d39941eb73b04c66e7c,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,0
summarization,na,na,8d96df94a2ed4629ad9388618b27ae40,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,0
summarization,na,na,30c3f4885bd54874bd6d52ecf963ca27,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,1
summarization,na,na,d637c7000de94b13b9160fa8210078d4,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,1
summarization,na,na,64935796e62c41f3804558d163f07d57,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,1
summarization,na,na,2d060a2e2a00471498c52b10979c22b6,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,1
summarization,na,na,b3676e44f66042ddb1ba1e28de017706,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,2
summarization,na,na,6be94bc5a79e47218e76082534ebb506,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,2
summarization,na,na,e785b0d368ab41abb53e4764523f4ed8,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,2
summarization,na,na,c7ee6a22499643f1a28f9a7eb50c13fc,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,2
summarization,na,na,964d76d68f14479ca5b9b07b566968b1,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,3
