name,session_id,worker_id,model,prompt,elapsed_time,num_queries,num_events,order_id,prompt_dataset,user_query,completion,query_type,query_index,clue_num,clue_direction,clue_type
crossword-00,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,0,NYT-1," ""modern persia""
"," ""  The modern Persian language is a direct descendant of the Old Persian language","['exact', 'keyword']",00,1,across,knowledge
crossword-01,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,1,NYT-1," ""not give an""
"," "" inch""""  This phrase means to not give up or back down from a position",['keyword'],01,1,down,
crossword-02,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,2,NYT-1," ""wherefore art thou""
"," "" here?  I'm here to help.""
",['keyword'],02,16,across,
crossword-03,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,3,NYT-1," ""wherefore art thou saying""
"," "" that?  I'm saying that because I don't think that it's a good idea to get married.""
",['keyword'],03,16,across,
crossword-04,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,4,NYT-1," ""name before wherefore art thou""
"," ""  I am here because I want to be.""
","['close', 'phrase']",04,16,across,
crossword-05,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,5,NYT-1," ""something in vogue""
"," ""  Something that is popular or fashionable at a particular time.""
",['keyword'],05,17,across,
crossword-06,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,6,NYT-1," ""international court of justice""
"," ""  The International Court of Justice (ICJ) is the principal judicial organ of the United Nations. It is based in The Hague","['close', 'keyword']",06,17,across,
crossword-07,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,7,NYT-1," ""seasme street""
"," ""  seasme street  seasme street  seasme street  seasme street  seasme street  seasme street  seasme street  seasme street  ""
",['keyword'],07,18,across,
crossword-08,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,8,NYT-1," ""oscar the grouch""
"," ""    oscar the grouch is a grouchy character on the tv show """"sesame street."""" he lives in a trash can and hates everyone and everything.""
","['close', 'keyword']",08,18,across,
crossword-09,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,9,NYT-1," ""greek of mars""
"," ""  The Greek of Mars is a dialect of the Greek language spoken on the planet Mars. It is estimated that there are approximately 1",['keyword'],09,19,down,
crossword-10,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,10,NYT-1," ""mars version of greek""
"," ""  The Greek language is an Indo-European language spoken in Greece and Cyprus. It has the longest documented history of any living language",['keyword'],10,19,down,
crossword-11,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,11,NYT-1," ""what is greek counterpart of mars""
"," ""  The Greek counterpart of Mars is Ares.""
","['close', 'question']",11,19,down,
crossword-12,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,12,NYT-1," ""less fresh -stale""
"," ""  The bread is fresh.""
","['close', 'keyword']",12,31,across,
crossword-13,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,13,NYT-1," ""stale""
"," "" bread  bread that is no longer fresh and has a hard crust""
",['keyword'],13,31,across,
crossword-14,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,14,NYT-1," ""fish that wriggles""
"," "" its way through the sand  A sandfish is a type of fish that lives in the sand. They wriggle their way through the sand to find food and to avoid being seen by predators.""
",['keyword'],14,65,down,
crossword-15,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,15,NYT-1," ""demilitarized zone""
"," ""  A demilitarized zone (DMZ) is a buffer zone between two belligerent armies or","['close', 'keyword']",15,55,down,
crossword-16,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,16,NYT-1," ""house in shape of a dome""
"," ""  Domes have been used as a form of shelter for thousands of years. The first known dome-like structure was built by the Sumerians in Mesopotamia around 4","['close', 'phrase']",16,58,across,
crossword-17,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,17,NYT-1," ""where work piles up""
"," ""  There is no one definitive answer to this question. It depends on the individual and the specific situation. Some people may find that working more hours leads to an increase in productivity","['close', 'question']",17,8,down,
crossword-18,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,18,NYT-1," ""golf"," ""  bat",['keyword'],18,15,across,sense
crossword-19,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,19,NYT-1," ""time span 3 letters""
"," ""  P-O-L  Police""
","['lexical', 'keyword']",19,6,down,sense
crossword-20,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,20,NYT-1," ""repeat""
"," ""  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  repeat  ""
",['keyword'],20,6,down,sense
crossword-21,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,21,NYT-1," ""for shame""
"," ""  That's the last thing I need  to hear  I'm sorry  I didn't mean to  I'm sorry  I didn't mean to  I'm sorry  I didn't mean to""
","['close', 'keyword']",21,32,down,
crossword-22,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,22,NYT-1," ""cover gray"," "" a little too gray.  The novel is set in the near future",['keyword'],22,46,across,
crossword-23,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,23,NYT-1," ""whats a line of a calendar""
"," ""  A line of a calendar is a row of days.""
","['close', 'question']",23,61,down,sense
crossword-24,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,24,NYT-1," ""eel""
"," ""  This is an eel. Eels are long",['keyword'],24,65,down,
crossword-25,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,25,NYT-1," ""foal: mare""
"," ""  foal: colt  foal: filly""
",['keyword'],25,48,down,wordplay
crossword-26,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,26,NYT-1," ""___: cow""
"," ""  The word """"cow"""" is a noun meaning a large domesticated ungulate mammal of the genus Bos",['keyword'],26,48,down,wordplay
crossword-27,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,27,NYT-1," ""insets in a crown""
"," ""  Crowns may have one or more inset stones. Inset stones are set into the crown in a way that they are not visible from the outside.""
","['exact', 'keyword']",27,59,down,
crossword-28,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,28,NYT-1," ""name of insets in a crown""
"," ""  The insets in a crown are the small pieces of metal or other material that are set into the crown's band to hold the gemstones in place.""
","['close', 'phrase']",28,59,down,
crossword-29,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,29,NYT-1," ""sexy lady beatles song""
"," ""  sexy lady beatles song  sexy lady beatles song  sexy lady beatles song  sexy lady beatles song  sexy lady beatles song  sexy lady beatles song  ""
","['close', 'keyword']",29,35,down,
crossword-30,61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,0.0,1,2,30,NYT-1," ""beatles song sexy lady""
"," ""  There is no definitive answer to this question as it is subjective. However",['keyword'],30,35,down,
