session_id,worker_id,model,prompt,prompt_dataset,fluency,helpfulness,ease,joy,helpfulness_freetext,change_freetext,adjectives
151_57c10c96802f13f8acb3ed38f9f5c02c_ai2-jumbo,57c10c96802f13f8acb3ed38f9f5c02c,Jumbo,151,ELECT,3,2,3,1,I often had to ask the same question more than once.,I just kept trying to word my questions in a way that would make it understand.,"confusing, inefficient"
151_01f7abec1f2c69d2aa5270b8e4f151ca_text-babbage,01f7abec1f2c69d2aa5270b8e4f151ca,InstructBabbage,151,ELECT,3,1,5,2,"The AI seems to be looking up and pasting in an answer that is loosely related to the question, at best, and often completely unrelated or too generic or poorly interpreted in the first place. Also, the context of the answer is often missing, which leads to low confidence in the given answer in the few cases where the AI returns what seems like a reasonable response. Overall it doesn't seem very intelligent at all.",I tried to adapt how I was asking questions to get better answers but this didn't seem to help.,"frustrating, inept, unproductive"
151_eb82ff0f084d0ac8ef06249ef287ad3f_ai2-jumbo,eb82ff0f084d0ac8ef06249ef287ad3f,Jumbo,151,ELECT,1,1,1,1,"They kept repeating gibberish for their responses, no matter how I tried to word them.","Sometimes I'd include quotations, sometimes I'd form it as a question, sometimes as a sentence for them to complete","Confusing, difficult, illogical"
151_d202202ed22b7466c6586cf51beba7b6_text-babbage,d202202ed22b7466c6586cf51beba7b6,InstructBabbage,151,ELECT,2,1,5,3,The answers it gave felt like the type of thing that someone whose first language was not English would answer.,I tried to be more simple and specific with my questions.,"Useless, focused on singular words."
151_ade83d319adf6296b57cfe1d004e1cf7_text-babbage,ade83d319adf6296b57cfe1d004e1cf7,InstructBabbage,151,ELECT,2,2,2,2,it helped with only a couple clues I was pretty much on my own,you have to be kind of ambiguous because it isn't google it still wasn't very helpful,it was a little rude to be honest lol
151_ec3d0077dfec47eea16e366db5d624f0_text-babbage,ec3d0077dfec47eea16e366db5d624f0,InstructBabbage,151,ELECT,4,3,5,4,It either gave me the answer or the answer put me in the right direction to figure it out.,"No real change, just using it to help me figure it out. ","responsive, quick, clear"
151_bcf79408c938102a43ced0a5f18a54dc_text-babbage,bcf79408c938102a43ced0a5f18a54dc,InstructBabbage,151,ELECT,4,3,5,5,they did give me some helpful tips and ideas and also gave me some different words and explained word meanings,no when I got stuck I asked for help on every question,"warm, helpful, smart"
151_97d2cbfd1df5842a08eb67fbd8a81979_ai2-jumbo,97d2cbfd1df5842a08eb67fbd8a81979,Jumbo,151,ELECT,3,3,4,3,"They were very unhelpful at first, just repeating what I said. When I asked very specific questions, they were more helpful.","I ended up getting more and more specific with my questions over time, and that seemed to help.","slow on the uptake, unintuitive "
151_d5f7d70c7b04c51a89b3768818bbc69f_text-babbage,d5f7d70c7b04c51a89b3768818bbc69f,InstructBabbage,151,ELECT,4,4,5,4,Sometimes it gave me the right answer which helped.,Not really. I would just change the way I asked things.,helpful
151_115f483210e5e048e5180d71f7dbbfad_davinci,115f483210e5e048e5180d71f7dbbfad,Davinci,151,ELECT,2,2,5,4,it rarely provided an answer that wasn't either not close or just a repeat of keyword phrases,not significantly.  i got better at drilling down to smaller factors that might lead to a correct answer and i think with an ai that had more 'experience' it would have been better but didn't generally help me more.,"handy, good to jumpstart memory, helps focus effort on each question"
151_3cf003c26b6ccd9057b8fbf31ddc05bc_davinci,3cf003c26b6ccd9057b8fbf31ddc05bc,Davinci,151,ELECT,1,1,1,1,Very unhelpful. They didn't seem to understand anything I asked it.,No. I tried to ask it questions but it never answered any properly.,"annoying, dumb, slow"
151_f97f70d5ac218dc81fd3fe2056441a2d_text-davinci,f97f70d5ac218dc81fd3fe2056441a2d,InstructDavinci,151,ELECT,3,4,4,5,It helped out a little,I didn't make any changes. I just asked for help when i needed it. ,"helpful, quick"
