session_id,worker_id,turn_id,model,prompt,interestingness,boringness,preference,fluency,sensibility,specificity,humanness,quality
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,-1,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",,,,,,,,1.0
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,1,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",1.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,2,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",1.0,0.0,1.0,0.0,0.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,3,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,4,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,5,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,6,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,7,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,0.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,8,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",1.0,0.0,1.0,1.0,1.0,0.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,9,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",1.0,0.0,0.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,10,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",0.0,0.0,1.0,1.0,1.0,1.0,0.0,
4c208762-1acf-4b05-b068-3e6a40c4d106,ad27557f-55c8-4c38-9be7-9921a0f1286e,11,Jumbo,"I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.",1.0,0.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,-1,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,,,,,,,,4.0
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,1,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,2,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,3,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,4,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,5,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,6,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,7,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,8,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,9,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,10,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,11,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,12,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,13,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,14,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,15,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,16,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,17,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
a37bc776-7926-4663-aec6-e2eada91c297,138ac096-3040-409b-a336-751303455079,18,InstructDavinci,Jordan produced a lot of money annually. Always being able to pay his bills on time.,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
