session_id,worker_id,order_id,norm_order_id,model,prompt,elapsed_time,num_queries,num_events,acceptance,model_completion,final_sentence,edit_model_final_token,edit_model_final_char,apt,specific,imageable,overall
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,0,0.0,InstructBabbage,progress,0.9,1,25,100.0,We'll keep dancing until we reach the top.,We'll keep dancing until we reach the top.,0,0,0.0,0.5,0.0,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,1,0.07,InstructBabbage,progress,0.74,0,128,,,We will fall into a rhythm and find our way.,10,44,0.5,1.0,0.5,0.6666666666666666
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,2,0.14,InstructBabbage,progress,0.71,1,32,100.0,We'll move through the obstacles together.,We'll move through the obstacles together.,0,0,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,3,0.21,InstructBabbage,progress,0.42,0,81,,,There is more than one way to move forward.,9,43,0.5,0.5,0.5,0.5
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,4,0.29,InstructBabbage,progress,0.12,1,9,100.0,We'll take it one step at a time.,We'll take it one step at a time.,0,0,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,5,0.36,InstructBabbage,progress,0.5,0,66,,,The way forward is best found with a partner.,9,45,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,6,0.43,InstructBabbage,progress,0.95,1,60,0.0,,Progress can be achieved in many different styles.,8,50,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,7,0.5,InstructBabbage,progress,0.96,3,70,67.0,vigorously forward.,Progress can be achieved by tangoing vigorously forward.,6,37,0.5,0.5,1.0,0.6666666666666666
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,8,0.57,InstructBabbage,progress,0.31,2,23,50.0,We'll keep going until we reach the end.,We'll keep dancing until we reach the end.,1,4,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,9,0.64,InstructBabbage,progress,0.21,0,44,,,We'll make progress at our own pace.,7,36,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,10,0.71,InstructBabbage,progress,0.43,2,44,50.0,and timing are everything.,Rhythm and timing are everything.,1,7,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,11,0.79,InstructBabbage,progress,0.11,1,18,100.0,"every which way, we make our way to the next destination.","Dancing every which way, we make our way to the next destination.",1,8,,,,
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,12,0.86,InstructBabbage,progress,0.41,3,55,33.0,carry us forward.,The rhythm of the beat will carry us forward.,6,28,0.5,1.0,0.5,0.6666666666666666
6974535619244ad4a883e684caa10e7d,a9c7faeb33dba785fed1c36cb0cb900b,13,0.93,InstructBabbage,progress,0.4,1,31,100.0,"are easy to learn, but the whole dance is hard to maintain.","The steps are easy to learn, but the whole dance is hard to maintain.",2,10,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,0,0.0,Davinci,life,0.25,1,13,100.0,Life is a game of chance.,Life is a game of chance.,0,0,,,,
a855d109d86a4d9aa17da60ae39755ed,1e1f5577348f76027d7884815297109a,1,0.06,Davinci,life,0.08,0,31,,,Life is a roll of the dice.,7,27,,,,
