session_id,worker_id,model,prompt,fluency,helpfulness,ease,helpfulness_freetext,change_freetext,adjectives
bef4fe951fd240ce80ebe96419ee78df,A22VGT2F28LTWC,InstructDavinci,88,4,5,5,Helpful for the most part- I asked the same question several times to get variants in the answers and picked the closest one.,no,"helpful, easy, intelligent, knowledgeable"
42db869711b548d581fd1eabf6202919,A171S8E9IFSHH2,InstructDavinci,54,5,5,4,it answered my questions so great,"Yes, I didn't need it until the last 2 questions and it provided great answers","smart, concise"
19c4644751d44088b202023adcface85,AFRJKS3Z3H4CA,InstructDavinci,83,4,5,4,"It answered all my questions eventually, as far as I know","No, I varied my approach when I needed to but I was straightforward at the start of each question","responsive, useful, helpful, knowledgable"
f18afd30c59b47fba70a52fac3a694d6,AZLZA0Q87TJZO,InstructDavinci,49,3,2,5,A lot of the time the AI Assistant just repeated my question and any clues I gave it.,"I tried to make my questions specific enough to help, but it didn't work very well. So I tried to make my questions simple as well. I think I tried something different for each question to find what would work.","easy, frustrating, clueless"
c6a6b80875ea495ca1dde828cfccb608,A6KOTWP7N7RLU,InstructDavinci,12,4,5,4,The AI was able to give me answers to several questions that I would have otherwise had to guess at.,"My interactions did not change by choice, but I had to stop using the AI halfway through.  Immediately after an attention check question, the AI remained disabled until the end.","Helpful, useful, competent."
4cb664d199054a0c96e94482ca65bf90,A3EUGO4VR2N4G1,InstructDavinci,53,4,4,5,It could give me info that I didn't know and could get me in the ballpark if I was completely clueless about a subject even if it didn't give me exactly what I was looking for.,"No, I just put in questions in different forms to try to get answers if they wouldn't come up at first.","intuitive, easy, fast"
dd4b689dc735448da4e62e2416c2677e,A2ONILC0LZKG6Y,InstructDavinci,8,5,4,5,"It could give me definitions and facts I didn't know myself. Sometimes it wasn't able to give me a definitive answer saying things like ""it depends on the situation"" ""or it is a complicated situation but generally"" which is fair given they were complicated questions.","Not over the questions themselves, but sometimes I submitted the exact same question twice and got slight variations in the answer. One was usually more concise than the other.","clear, accurate, intelligent, helpful"
f3ddf272a9e14b26ae0db34e07498dc0,A1FVXS8IM5QYO8,InstructDavinci,25,5,4,5,It was extremely helpful for questions that I didn't know the answer to.,"It was typically able to give me the right answer after I asked one question. If not, I changed the question slightly and it gave me the correct answer.","Helpful, Intelligent, Fast"
b9449cf724cc4919bcd3c9e18ff3ed00,A3VEF4M5FIN7KH,InstructDavinci,12,4,4,5,I found it fairly helpful in answering my questions. There were some questions that it couldn't answer but it did manage to answer a lot of them.,No,"Reliable, knowledgeable and helpful"
ade5d40c44ae44b1997ec3be0a66c4bb,A8C3WNWRBWUXO,InstructDavinci,67,4,4,3,Once a method for inputting the question is found it typically will give a response that it of use.,"The examples on the HIT page outline a way to navigate for the best response, basically it is giving the four options for the system to sort through.  Some questions it is easier to have a plainer query, but for the most part you have to include a lot of information in the posed question.","Structured, helpful, responsive, quick, reliable."
d3a143333585496ba3fdebaa8b84206d,AVBRJBJONL47I,InstructDavinci,25,5,4,5,It was very helpful for about 3/5 of the questions. Others I either knew the answer or had difficulty gleaning a final answer from the questions I posed,I did find myself trying to refine questions several times if I wasn't sure of the answer it was giving me,"efficient, understandable, helpful"
a8f79fd67d3744c481b9a5a6fd52706e,A17AF42SNQNH9C,InstructDavinci,63,4,5,5,I found the AI Assistant to be very helpful.,"Not really, I just tailored my questions that I asked the AI Assistant based on which information I needed to answer a specific question.","Helpful, informative, fast thinking, competent, intelligent"
701936f89bf24c2fa7f608790e4042f4,A3P9TM5PRYBH90,InstructDavinci,37,4,5,4,The AI gave direct answers to the questions once I found the question format that works for it.,"Yes, I tried a few question formats and found that simply repeating the question followed by the answer choices (but not preceded by the answer choices) worked so I continued to do that.",Dependable but somewhat picky.
63946d516d714985844eb2d0387b4967,A3C8JI69WPTKWH,InstructDavinci,68,5,5,5,The AI was able to provide me with the answers to the questions I asked in a coherent and concise manner,I used the AI in the same way throughout the study,"helpful, knowledgeable"
bb837bc6d5a74d7eaf56cd170d28be02,AKQAI78JTXXC9,InstructDavinci,82,5,5,4,"It gave pretty clear answers to every question posed to it, or at least ones that made it much easier to narrow answers down.",Nope!,"Helpful, useful, responsive"
fdccc84c3ef047bf81e9f6f1c0dcc493,A1QUQ0TV9KVD4C,InstructDavinci,13,4,3,5,It helped to rule out certain options according to dates,Used less filler words and mostly keywords without good grammar,"swift, handy, convenient"
e928bcc2e716466c8de239264eb2be8e,A173MXK429XAZQ,InstructDavinci,68,5,5,4,I was able to ask the AI questions until I could deduce the right answer.,I started with more open-ended questions and narrowed the scope of the questions to get the answer I wanted faster.,"Fast, succinct, knowledgeable"
506ad440b2b0416eab7c95ea36e9bf2f,A2WGW5Y3ZFBDEC,InstructDavinci,58,4,4,5,"In every case but one, it either knew the answer, or gave me enough information to figure out the likely answer.","Well, if it wasn't able to answer an open ended question (basically in the same form as the prompt) I would ask it individual questions to explore the possibility of each item being correct.","fast, efficient, basic"
826478c7843c44c2918ac813e0f29fb8,A1198W1SPF1R4,InstructDavinci,31,4,4,5,Some of the questions were difficult and I couldn't pick the answer without AI's help.,"Yes, I sometimes used my preferred answer to query the AI to get a final confirmation.","efficient, logical"
